"Date","Price","Open","High","Low","Change %"
"Jan 01, 2020","6.6650","6.6697","6.6755","6.6625","-0.04%"
"Jan 02, 2020","6.6519","6.6673","6.6822","6.6472","-0.20%"
"Jan 03, 2020","6.6645","6.6547","6.6821","6.6424","0.19%"
"Jan 06, 2020","6.6783","6.6699","6.6982","6.6571","0.21%"
"Jan 07, 2020","6.6583","6.6823","6.6871","6.6463","-0.30%"
"Jan 08, 2020","6.5560","6.6610","6.6844","6.5542","-1.54%"
"Jan 09, 2020","6.5171","6.5627","6.5905","6.5014","-0.59%"
"Jan 10, 2020","6.5349","6.5235","6.5477","6.5040","0.27%"
"Jan 13, 2020","6.5247","6.5392","6.5440","6.5017","-0.16%"
"Jan 14, 2020","6.5416","6.5335","6.5778","6.5237","0.26%"
"Jan 15, 2020","6.5498","6.5461","6.5670","6.5377","0.13%"
"Jan 16, 2020","6.5192","6.5521","6.5757","6.5103","-0.47%"
"Jan 17, 2020","6.5306","6.5256","6.5582","6.5087","0.17%"
"Jan 20, 2020","6.5568","6.5341","6.5701","6.5243","0.40%"
"Jan 21, 2020","6.5772","6.5607","6.5975","6.5558","0.31%"
"Jan 22, 2020","6.5638","6.5813","6.5905","6.5531","-0.20%"
"Jan 23, 2020","6.5544","6.5695","6.5840","6.5422","-0.14%"
"Jan 24, 2020","6.5456","6.5602","6.5700","6.5396","-0.13%"
"Jan 27, 2020","6.5480","6.5455","6.5679","6.5417","0.04%"
"Jan 28, 2020","6.5440","6.5491","6.5611","6.5287","-0.06%"
"Jan 29, 2020","6.5542","6.5474","6.5733","6.5316","0.16%"
"Jan 30, 2020","6.5802","6.5591","6.6079","6.5551","0.40%"
"Jan 31, 2020","6.6349","6.5889","6.6411","6.5789","0.83%"
"Feb 03, 2020","6.6154","6.6357","6.6386","6.6039","-0.29%"
"Feb 04, 2020","6.6011","6.6185","6.6248","6.5836","-0.22%"
"Feb 05, 2020","6.5750","6.6045","6.6159","6.5727","-0.40%"
"Feb 06, 2020","6.5724","6.5807","6.5939","6.5630","-0.04%"
"Feb 07, 2020","6.5814","6.5760","6.6377","6.5482","0.14%"
"Feb 10, 2020","6.5556","6.5874","6.5981","6.5430","-0.39%"
"Feb 11, 2020","6.5651","6.5584","6.6081","6.5469","0.14%"
"Feb 12, 2020","6.5650","6.5674","6.6080","6.5415","-0.00%"
"Feb 13, 2020","6.5432","6.5724","6.5972","6.5419","-0.33%"
"Feb 14, 2020","6.5511","6.5485","6.5834","6.5363","0.12%"
"Feb 17, 2020","6.5456","6.5580","6.5733","6.5389","-0.08%"
"Feb 18, 2020","6.5396","6.5498","6.5806","6.5403","-0.09%"
"Feb 19, 2020","6.5683","6.5445","6.5799","6.5313","0.44%"
"Feb 20, 2020","6.5731","6.5725","6.6031","6.5584","0.07%"
"Feb 21, 2020","6.6062","6.5792","6.6391","6.5702","0.50%"
"Feb 24, 2020","6.6360","6.6114","6.6756","6.5949","0.45%"
"Feb 25, 2020","6.6798","6.6397","6.7002","6.5846","0.66%"
"Feb 26, 2020","6.6960","6.6853","6.7218","6.6722","0.24%"
"Feb 27, 2020","6.8249","6.6983","6.8337","6.6915","1.93%"
"Feb 28, 2020","6.8782","6.8292","6.9138","6.8125","0.78%"
"Mar 02, 2020","6.8699","6.8689","6.9586","6.8451","-0.12%"
"Mar 03, 2020","6.8178","6.8741","6.9264","6.7470","-0.76%"
"Mar 04, 2020","6.7635","6.8228","6.8580","6.7519","-0.80%"
"Mar 05, 2020","6.8574","6.7677","6.8850","6.7457","1.39%"
"Mar 06, 2020","6.8725","6.8682","6.9307","6.8261","0.22%"
"Mar 09, 2020","7.0310","6.8790","7.0918","6.8726","2.31%"
"Mar 10, 2020","6.9365","7.0330","7.0638","6.9154","-1.34%"
"Mar 11, 2020","6.9918","6.9460","7.0373","6.9375","0.80%"
"Mar 12, 2020","7.0601","6.9970","7.0928","6.9651","0.98%"
"Mar 13, 2020","7.0296","7.0643","7.0890","6.9671","-0.43%"
"Mar 16, 2020","7.1866","7.0234","7.2051","6.9883","2.23%"
"Mar 17, 2020","7.0304","7.1920","7.2020","6.9991","-2.17%"
"Mar 18, 2020","7.0747","7.0314","7.1327","6.9988","0.63%"
"Mar 19, 2020","6.9903","7.0792","7.1307","6.9669","-1.19%"
