"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"01.01.2020","5,9456","5,9487","5,9502","5,9405","-0,04%"
"02.01.2020","5,9541","5,9465","5,9605","5,9433","0,14%"
"03.01.2020","5,9713","5,9570","5,9792","5,9495","0,29%"
"06.01.2020","5,9644","5,9722","5,9783","5,9619","-0,12%"
"07.01.2020","5,9705","5,9694","5,9790","5,9471","0,10%"
"08.01.2020","5,9081","5,9728","5,9893","5,8973","-1,05%"
"09.01.2020","5,8689","5,9089","5,9278","5,8562","-0,66%"
"10.01.2020","5,8767","5,8740","5,8972","5,8560","0,13%"
"13.01.2020","5,8607","5,8785","5,8809","5,8490","-0,27%"
"14.01.2020","5,8790","5,8676","5,9039","5,8590","0,31%"
"15.01.2020","5,8748","5,8815","5,9016","5,8678","-0,07%"
"16.01.2020","5,8547","5,8762","5,8937","5,8341","-0,34%"
"17.01.2020","5,8898","5,8584","5,9126","5,8443","0,60%"
"20.01.2020","5,9102","5,8820","5,9212","5,8820","0,35%"
"21.01.2020","5,9350","5,9115","5,9409","5,9107","0,42%"
"22.01.2020","5,9181","5,9380","5,9459","5,9145","-0,28%"
"23.01.2020","5,9305","5,9222","5,9469","5,8998","0,21%"
"24.01.2020","5,9381","5,9343","5,9489","5,9202","0,13%"
"27.01.2020","5,9430","5,9392","5,9579","5,9317","0,08%"
"28.01.2020","5,9383","5,9435","5,9535","5,9278","-0,08%"
"29.01.2020","5,9535","5,9397","5,9735","5,9335","0,26%"
"30.01.2020","5,9657","5,9569","5,9883","5,9525","0,20%"
"31.01.2020","5,9812","5,9755","5,9883","5,9671","0,26%"
"03.02.2020","5,9825","5,9819","5,9889","5,9746","0,02%"
"04.02.2020","5,9776","5,9846","5,9882","5,9585","-0,08%"
"05.02.2020","5,9789","5,9792","5,9907","5,9695","0,02%"
"06.02.2020","5,9858","5,9826","5,9911","5,9742","0,12%"
"07.02.2020","6,0143","5,9876","6,0500","5,9760","0,48%"
"10.02.2020","6,0088","6,0154","6,0258","5,9736","-0,09%"
"11.02.2020","6,0153","6,0108","6,0531","6,0012","0,11%"
"12.02.2020","6,0390","6,0130","6,0662","5,9980","0,39%"
"13.02.2020","6,0362","6,0447","6,0686","6,0340","-0,05%"
"14.02.2020","6,0490","6,0406","6,0698","6,0333","0,21%"
"17.02.2020","6,0417","6,0531","6,0623","6,0340","-0,12%"
"18.02.2020","6,0602","6,0448","6,0757","6,0399","0,31%"
"19.02.2020","6,0795","6,0642","6,0875","6,0469","0,32%"
"20.02.2020","6,0964","6,0833","6,1089","6,0767","0,28%"
"21.02.2020","6,0924","6,1002","6,1269","6,0844","-0,07%"
"24.02.2020","6,1154","6,0979","6,1616","6,0929","0,38%"
"25.02.2020","6,1401","6,1173","6,1586","6,0662","0,40%"
"26.02.2020","6,1550","6,1441","6,1662","6,1365","0,24%"
"27.02.2020","6,2056","6,1588","6,2111","6,1480","0,82%"
"28.02.2020","6,2387","6,2075","6,2579","6,1958","0,53%"
"02.03.2020","6,1713","6,2432","6,2610","6,1575","-1,08%"
"03.03.2020","6,1031","6,1790","6,2239","6,0303","-1,11%"
"04.03.2020","6,0746","6,1070","6,1487","6,0567","-0,47%"
"05.03.2020","6,1077","6,0784","6,1354","6,0565","0,54%"
"06.03.2020","6,0899","6,1104","6,1311","6,0677","-0,29%"
"09.03.2020","6,1422","6,0903","6,1967","6,0860","0,86%"
"10.03.2020","6,1499","6,1429","6,1684","6,0978","0,13%"
"11.03.2020","6,2056","6,1564","6,2129","6,1252","0,91%"
"12.03.2020","6,3132","6,2098","6,3211","6,2035","1,73%"
"13.03.2020","6,3301","6,3158","6,3400","6,2435","0,27%"
"16.03.2020","6,4275","6,3320","6,4441","6,2775","1,54%"
"17.03.2020","6,3936","6,4315","6,4988","6,3762","-0,53%"
"18.03.2020","6,4828","6,3940","6,5040","6,3872","1,40%"
"19.03.2020","6,5391","6,4840","6,5582","6,4653","0,87%"
"20.03.2020","6,5505","6,5438","6,5665","6,4548","0,17%"
"23.03.2020","6,5580","6,5528","6,6185","6,5403","0,11%"
"24.03.2020","6,4183","6,5605","6,5740","6,3917","-2,13%"
"25.03.2020","6,4125","6,4205","6,4773","6,3773","-0,09%"
"26.03.2020","6,3939","6,4169","6,5117","6,3793","-0,29%"
"27.03.2020","6,4530","6,3982","6,4764","6,3885","0,92%"
"30.03.2020","6,5733","6,4549","6,5974","6,4433","1,86%"
"31.03.2020","6,6110","6,5764","6,6272","6,5490","0,57%"
"01.04.2020","6,6986","6,6149","6,7140","6,6087","1,33%"
"02.04.2020","6,6146","6,7024","6,7205","6,5891","-1,25%"
"03.04.2020","6,7290","6,6137","6,7517","6,6083","1,73%"
"06.04.2020","6,7785","6,7291","6,7951","6,7075","0,74%"
