"STATION","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"TUM00017064","2020-01-01",,,"7.0",,
"TUM00017064","2020-01-02","9.1","10.0","5.6",,
"TUM00017064","2020-01-03","7.9",,"6.3",,"2.9"
"TUM00017064","2020-01-04","0.0",,"7.8",,
"TUM00017064","2020-01-05",,,"6.7",,"3.5"
"TUM00017064","2020-01-06","4.6",,"7.1",,"5.9"
"TUM00017064","2020-01-07","76.2","20.0","6.1",,
"TUM00017064","2020-01-08","20.6","10.0","5.7",,
"TUM00017064","2020-01-09","0.3",,"5.8",,"4.0"
"TUM00017064","2020-01-10","0.0",,"5.9",,"2.3"
"TUM00017064","2020-01-11","0.0",,"8.1",,"3.9"
"TUM00017064","2020-01-12","0.0",,"8.3",,
"TUM00017064","2020-01-13","0.0",,"8.2",,
"TUM00017064","2020-01-14","0.0",,"7.2",,"3.3"
"TUM00017064","2020-01-15",,,"7.9",,
"TUM00017064","2020-01-16",,,"8.6",,"6.7"
"TUM00017064","2020-01-17","0.0",,"8.2",,
"TUM00017064","2020-01-18","3.0",,"7.6",,
"TUM00017064","2020-01-19","0.0",,"5.9",,"4.9"
"TUM00017064","2020-01-20","4.3",,"5.4",,
"TUM00017064","2020-01-21","3.6",,"4.0",,
"TUM00017064","2020-01-22","0.3",,"5.2",,"0.7"
"TUM00017064","2020-01-23","0.0",,"6.9",,
"TUM00017064","2020-01-24","0.0",,"6.1",,"2.8"
"TUM00017064","2020-01-25","0.0",,"8.2",,"3.1"
"TUM00017064","2020-01-26",,,"11.2",,"8.6"
"TUM00017064","2020-01-27",,,"12.2","16.2","8.5"
"TUM00017064","2020-01-28","5.1",,"9.1",,
"TUM00017064","2020-01-29","0.5",,"11.6","15.1","6.9"
"TUM00017064","2020-01-30","16.0","10.0","7.2",,
"TUM00017064","2020-01-31","1.8",,"7.8",,"2.6"
"TUM00017064","2020-02-01","0.5",,"11.3",,
"TUM00017064","2020-02-02","0.0",,"12.1",,"7.1"
"TUM00017064","2020-02-03",,,"13.3",,"10.3"
"TUM00017064","2020-02-04","1.5",,"13.1",,
"TUM00017064","2020-02-05","0.0",,"13.5","19.1",
"TUM00017064","2020-02-06","14.5",,"4.9",,
"TUM00017064","2020-02-07","1.0",,"4.4",,
"TUM00017064","2020-02-08","5.1",,"1.0",,"-0.6"
"TUM00017064","2020-02-09","0.8",,"2.6","5.4","0.5"
"TUM00017064","2020-02-10","0.0",,"5.9",,"0.9"
"TUM00017064","2020-02-11",,,"11.8",,"7.3"
"TUM00017064","2020-02-12","9.7","10.0","8.4",,
"TUM00017064","2020-02-13","0.0",,"8.7",,
"TUM00017064","2020-02-14",,,"9.8",,"3.5"
"TUM00017064","2020-02-15","0.0",,"9.3",,
"TUM00017064","2020-02-16","0.5",,"8.6",,
"TUM00017064","2020-02-17","0.0",,"8.1",,"4.7"
"TUM00017064","2020-02-18",,,"7.9",,
"TUM00017064","2020-02-19",,,"8.6",,"4.9"
"TUM00017064","2020-02-20",,,"7.9",,"7.0"
"TUM00017064","2020-02-21","9.9","10.0","7.3",,
"TUM00017064","2020-02-22","1.3",,"7.2",,
"TUM00017064","2020-02-23","0.3",,"7.2",,"3.4"
"TUM00017064","2020-02-24","0.0",,"10.3",,"6.7"
"TUM00017064","2020-02-25",,,"9.8",,"6.0"
"TUM00017064","2020-02-26",,,"14.6",,"6.4"
"TUM00017064","2020-02-27",,,"14.6",,
"TUM00017064","2020-02-28","12.2","10.0","10.2",,"6.7"
"TUM00017064","2020-02-29","2.5",,"8.4",,
"TUM00017064","2020-03-01","1.3",,"7.8",,"3.6"
"TUM00017064","2020-03-02","0.0",,"11.9",,
"TUM00017064","2020-03-03",,,"15.8",,"9.5"
"TUM00017064","2020-03-04",,,"14.5",,"11.2"
"TUM00017064","2020-03-05",,,"12.8",,
"TUM00017064","2020-03-06","4.8",,"11.2",,"9.0"
"TUM00017064","2020-03-07","0.0",,"14.6",,"8.7"
"TUM00017064","2020-03-08","0.0",,"17.4",,"12.2"
"TUM00017064","2020-03-09",,,"15.2",,
"TUM00017064","2020-03-10","0.5",,"10.8",,
"TUM00017064","2020-03-11","4.8",,"12.4",,"9.3"
"TUM00017064","2020-03-12","0.0",,"12.9",,"7.6"
"TUM00017064","2020-03-13",,,"12.3",,"7.9"
"TUM00017064","2020-03-14",,,"10.7",,"7.2"
"TUM00017064","2020-03-15",,,"8.2",,
